city,cases_2021,cases_2022,cases_2023,population_lakhs,rate_total,chargesheet_rate,kidnap_abduct,rape,assault_354,insult_509,total_ipc,total_sll,total_crimes,rate_all,street_crime,street_crime_rate,street_share_pct,rape_rate,kidnap_rate,assault_rate
Patna,487.0,812.0,1162.0,9.6,121.2,89.7,684.0,49.0,69.0,0.0,963.0,199.0,1162.0,121.2,802.0,83.54166666666667,69.01893287435456,5.104166666666667,71.25,7.1875
Jabalpur,943.0,1039.0,809.0,6.0,133.8,82.5,231.0,98.0,139.0,11.0,687.0,122.0,809.0,133.8,479.0,79.83333333333333,59.2088998763906,16.333333333333332,38.5,23.166666666666668
Nagpur,1156.0,1259.0,1556.0,12.2,127.3,74.9,427.0,132.0,371.0,15.0,1265.0,291.0,1556.0,127.3,945.0,77.45901639344262,60.732647814910024,10.819672131147541,35.0,30.40983606557377
Raipur,466.0,825.0,706.0,5.4,129.7,69.9,220.0,90.0,75.0,22.0,549.0,157.0,706.0,129.7,407.0,75.37037037037037,57.64872521246459,16.666666666666664,40.74074074074074,13.888888888888888
Nasik,405.0,550.0,702.0,7.4,95.1,61.8,226.0,74.0,142.0,13.0,611.0,91.0,702.0,95.1,455.0,61.486486486486484,64.81481481481481,10.0,30.54054054054054,19.18918918918919
Chandigarh City,343.0,325.0,371.0,4.6,80.2,63.5,131.0,102.0,40.0,5.0,366.0,5.0,371.0,80.2,278.0,60.434782608695656,74.93261455525607,22.17391304347826,28.47826086956522,8.695652173913045
Pune,1616.0,2074.0,2550.0,23.9,106.7,77.1,564.0,196.0,588.0,73.0,2108.0,442.0,2550.0,106.7,1421.0,59.4560669456067,55.72549019607843,8.200836820083682,23.598326359832637,24.602510460251047
Durg-Bhilainagar,538.0,589.0,504.0,5.2,97.2,81.5,155.0,71.0,69.0,14.0,428.0,76.0,504.0,97.2,309.0,59.42307692307692,61.30952380952381,13.653846153846153,29.807692307692307,13.269230769230768
Bengaluru,3127.0,3924.0,4870.0,40.6,120.0,70.2,766.0,169.0,1163.0,63.0,2985.0,1885.0,4870.0,120.0,2161.0,53.22660098522167,44.37371663244353,4.16256157635468,18.866995073891626,28.645320197044335
Kollam,635.0,809.0,707.0,5.8,121.9,97.1,4.0,28.0,244.0,24.0,557.0,150.0,707.0,121.9,300.0,51.724137931034484,42.432814710042436,4.827586206896552,0.6896551724137931,42.06896551724138
Thiruvananthapuram,508.0,591.0,760.0,8.7,87.1,94.0,12.0,62.0,332.0,37.0,549.0,211.0,760.0,87.1,443.0,50.91954022988506,58.28947368421053,7.126436781609196,1.3793103448275863,38.16091954022989
Kanpur,894.0,2099.0,2071.0,13.4,155.1,80.3,264.0,86.0,323.0,0.0,1806.0,265.0,2071.0,155.1,673.0,50.223880597014926,32.496378561081606,6.4179104477611935,19.70149253731343,24.104477611940297
Mumbai,5543.0,6176.0,6025.0,85.2,70.7,71.0,1167.0,387.0,1672.0,606.0,4869.0,1156.0,6025.0,70.7,3832.0,44.97652582159624,63.601659751037346,4.54225352112676,13.697183098591548,19.624413145539904
Agra,1093.0,962.0,1030.0,8.0,128.1,81.3,141.0,35.0,178.0,4.0,887.0,143.0,1030.0,128.1,358.0,44.75,34.75728155339806,4.375,17.625,22.25
Srinagar,367.0,446.0,399.0,6.0,66.9,81.0,63.0,10.0,188.0,0.0,375.0,24.0,399.0,66.9,261.0,43.5,65.41353383458646,1.6666666666666667,10.5,31.333333333333332
Vishakhapatnam,1890.0,1329.0,997.0,8.6,116.6,97.6,7.0,16.0,269.0,73.0,882.0,115.0,997.0,116.6,365.0,42.44186046511628,36.609829488465394,1.8604651162790697,0.813953488372093,31.27906976744186
Kochi,531.0,754.0,783.0,10.8,72.8,90.6,10.0,94.0,296.0,48.0,603.0,180.0,783.0,72.8,448.0,41.48148148148148,57.215836526181356,8.703703703703702,0.9259259259259258,27.407407407407405
Prayagraj,454.0,496.0,589.0,5.6,105.0,84.3,86.0,43.0,94.0,0.0,567.0,22.0,589.0,105.0,223.0,39.82142857142858,37.86078098471987,7.678571428571429,15.357142857142858,16.78571428571429
Varanasi,733.0,534.0,680.0,6.7,100.9,81.2,146.0,47.0,62.0,3.0,601.0,79.0,680.0,100.9,258.0,38.507462686567166,37.94117647058823,7.014925373134328,21.791044776119403,9.253731343283581
Hyderabad,3050.0,3145.0,3822.0,37.6,101.5,74.3,273.0,173.0,751.0,184.0,3229.0,593.0,3822.0,101.5,1381.0,36.72872340425532,36.13291470434328,4.6010638297872335,7.26063829787234,19.97340425531915
Thrissur,690.0,822.0,860.0,9.8,87.9,93.1,9.0,50.0,214.0,43.0,643.0,217.0,860.0,87.9,316.0,32.244897959183675,36.74418604651163,5.1020408163265305,0.9183673469387754,21.83673469387755
Amritsar,292.0,226.0,306.0,5.5,55.3,69.7,105.0,23.0,37.0,2.0,279.0,27.0,306.0,55.3,167.0,30.363636363636363,54.57516339869281,4.181818181818182,19.09090909090909,6.7272727272727275
Ranchi,295.0,332.0,364.0,5.4,67.4,80.7,16.0,111.0,31.0,0.0,257.0,107.0,364.0,67.4,158.0,29.259259259259256,43.40659340659341,20.555555555555554,2.962962962962963,5.7407407407407405
Ghaziabad,591.0,1063.0,904.0,11.0,82.1,81.9,29.0,83.0,146.0,0.0,715.0,189.0,904.0,82.1,258.0,23.454545454545453,28.539823008849556,7.545454545454546,2.6363636363636362,13.272727272727273
Ludhiana,520.0,626.0,441.0,7.4,59.7,83.1,106.0,19.0,41.0,4.0,314.0,127.0,441.0,59.7,170.0,22.972972972972972,38.54875283446712,2.5675675675675675,14.324324324324323,5.54054054054054
Meerut,634.0,825.0,589.0,6.7,87.9,84.9,28.0,35.0,83.0,0.0,505.0,84.0,589.0,87.9,146.0,21.791044776119403,24.787775891341255,5.223880597014925,4.17910447761194,12.388059701492537
Asansol,790.0,447.0,695.0,6.0,116.8,93.2,86.0,12.0,21.0,5.0,630.0,65.0,695.0,116.8,124.0,20.666666666666668,17.841726618705035,2.0,14.333333333333334,3.5
Kozhikode,632.0,759.0,627.0,10.6,58.9,92.3,16.0,44.0,122.0,26.0,473.0,154.0,627.0,58.9,208.0,19.62264150943396,33.17384370015949,4.150943396226415,1.509433962264151,11.50943396226415
Jamshedpur,389.0,330.0,266.0,6.4,41.5,80.1,50.0,45.0,29.0,0.0,170.0,96.0,266.0,41.5,124.0,19.375,46.61654135338346,7.03125,7.8125,4.53125
Rajkot,242.0,345.0,381.0,6.6,57.8,86.9,57.0,30.0,34.0,1.0,279.0,102.0,381.0,57.8,122.0,18.484848484848484,32.020997375328086,4.545454545454546,8.636363636363637,5.151515151515151
Dhanbad,346.0,297.0,302.0,5.6,53.7,67.9,19.0,43.0,41.0,0.0,142.0,160.0,302.0,53.7,103.0,18.392857142857142,34.10596026490066,7.678571428571429,3.3928571428571432,7.321428571428572
Malappuram,401.0,401.0,410.0,8.9,46.1,91.7,3.0,34.0,104.0,8.0,333.0,77.0,410.0,46.1,149.0,16.741573033707866,36.34146341463415,3.8202247191011236,0.33707865168539325,11.685393258426966
Kannur,418.0,370.0,445.0,8.9,50.3,95.7,2.0,19.0,107.0,17.0,347.0,98.0,445.0,50.3,145.0,16.29213483146067,32.58426966292135,2.134831460674157,0.2247191011235955,12.022471910112358
Ahmedabad,1554.0,1452.0,1360.0,30.0,45.3,89.8,169.0,109.0,140.0,3.0,1020.0,340.0,1360.0,45.3,421.0,14.033333333333333,30.955882352941178,3.6333333333333333,5.633333333333334,4.666666666666667
Surat,622.0,797.0,869.0,19.7,44.1,78.6,170.0,50.0,49.0,0.0,637.0,232.0,869.0,44.1,269.0,13.654822335025381,30.95512082853855,2.5380710659898478,8.629441624365482,2.487309644670051
Vadodara,238.0,218.0,300.0,8.7,34.4,92.8,33.0,32.0,21.0,1.0,214.0,86.0,300.0,34.4,87.0,10.0,29.0,3.6781609195402303,3.7931034482758625,2.4137931034482762
Kolkata,1783.0,1890.0,1746.0,67.9,25.7,95.9,180.0,10.0,241.0,228.0,1552.0,194.0,1746.0,25.7,659.0,9.705449189985272,37.743413516609394,0.14727540500736375,2.6509572901325478,3.5493372606774667
Madurai,272.0,283.0,260.0,7.3,35.6,90.1,6.0,14.0,44.0,1.0,154.0,106.0,260.0,35.6,65.0,8.904109589041097,25.0,1.9178082191780823,0.8219178082191781,6.027397260273973
Chennai,874.0,736.0,745.0,43.1,17.3,96.0,3.0,20.0,166.0,21.0,306.0,439.0,745.0,17.3,210.0,4.872389791183294,28.187919463087248,0.46403712296983757,0.06960556844547564,3.851508120649652
Tiruchirapalli,104.0,110.0,119.0,5.1,23.1,85.6,1.0,2.0,15.0,0.0,47.0,72.0,119.0,23.1,18.0,3.5294117647058827,15.126050420168067,0.3921568627450981,0.19607843137254904,2.9411764705882355
Coimbatore,190.0,138.0,244.0,10.7,22.7,96.4,1.0,6.0,23.0,0.0,66.0,178.0,244.0,22.7,30.0,2.8037383177570097,12.295081967213115,0.5607476635514019,0.09345794392523366,2.149532710280374
